Indicator,IndicatorLabel,Value added to each nearby home,Number of properties,Added regional value (billion),Value,Properties,Benefit
Justified Value,Appraiser<br>Estimate<br>Model,52768.84,61287,3.234,"$52,769 per property","61,287 properties",$3.234 billion
Sale Price,Sale Price<br>Model,85605.96,10484,0.897,"$85,606 per property","10,484 properties",$0.897 billion
